Timestamp,How familiar are you with Virtual Reality (VR) technology? ,  How often do you use VR applications?  ,"Prior to this study, had you interacted with AI conversational agents (e.g., chatbots, NPCs)?  ",The conversational agent responded appropriately to my input.  ,The agent’s dialogue felt coherent and contextually relevant. ,The agent’s emotional expressions felt believable. ,I was able to infer the agent’s emotional state during the interaction.,The agent behaved in a way that felt human-like.,The conversation felt engaging rather than mechanical.,I felt socially present during the interaction with the agent.,The environment reflected the emotional state of the agent.  ,Environmental changes were noticeable without being distracting. ,The timing of environmental changes felt natural. ,The visual atmosphere of the environment matched the tone of the interaction. ,Environmental transitions felt smooth and coherent. ,The environment helped me better understand the agent’s emotions. ,I felt immersed in the virtual environment. ,I felt physically present within the virtual space. ,I lost awareness of the real world during the interaction. ,The experience felt consistent and believable. ,I felt emotionally involved in the interaction. ,I felt immersed in the virtual environment. ,I felt physically present within the virtual space. ,I lost awareness of the real world during the interaction. ,The experience felt consistent and believable. ,I felt emotionally involved in the interaction. ,Which interaction felt more immersive overall?,Which interaction felt more emotionally engaging?,Which interaction felt more natural and coherent?,The adaptive environment improved my understanding of the agent’s emotional state.  ,The adaptive environment enhanced my overall sense of presence. ,The adaptive environment influenced how I interacted with the agent. ,I adjusted my behaviour based on changes in the environment. ,The emotional tone of the experience felt stronger in the adaptive environment. ,The experience felt more memorable with the adaptive environment. ,I noticed latency or delays during the interaction. ,Environmental changes disrupted the flow of the experience. ,The experience caused discomfort or motion sickness. ,"Overall, the system provided a compelling immersive experience. ",The integration of emotion-driven environmental adaptation was effective. ,I would prefer experiences that adapt the environment based on agent emotions in future VR applications. ,What aspects of the experience contributed most to your sense of immersion?  ,"How did the adaptive environment affect your perception of the agent, if at all? ","Were there any moments where environmental changes felt confusing, unnecessary, or disruptive? ",What improvements would you suggest for future versions of this system? ,"In your own words, describe the main difference you perceived between the two interactions."
3/25/2026 12:03:38,5,Rarely (a few times per year),Yes,6,6,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,6,6,6,6,5,Adaptive environment,Adaptive environment,No noticeable difference,6,6,3,3,6,6,2,1,2,7,7,7,The scenario itself makes you want to pursue the robber even more; the cold interviewing room felt real; the conversation was flowing well after the first initial delay,It starts to indicate anxiety and anger which you would be seeking out in this scenario,none,Maybe reduce that initial delay after conversation first starts; improvement in character skin,"The first helps perceive the emotions a little easier and maybe I would say, pushes you even further to continue angering the AI!"
3/25/2026 14:30:13,6,Never,Yes,6,5,6,7,5,4,6,7,6,6,7,6,7,5,4,2,5,4,5,5,2,5,5,Adaptive environment,Adaptive environment,Adaptive environment,7,6,5,3,5,7,1,1,1,5,6,7,"Changing of light colour, light flickering, heart pounding sound",Made me thing the agent is very nervous,None,When the bot is nervous I would use a more striking colour than white. Also would have preferred it to be longer than 5 minutes.,"In the first one, it felt more exciting hearing the heartbeats, seeing the background changing.. Makes you feel more involved in the interrogation, seeing the agent nervous."
3/25/2026 16:07:12,6,Rarely (a few times per year),Yes,7,6,7,6,7,6,4,6,7,7,7,6,6,6,6,3,6,6,5,5,5,5,4,Adaptive environment,Adaptive environment,Non-adaptive environment,6,7,7,7,7,6,2,2,1,6,6,7,"Sounds, heartbeat",,No,more noticable sounds for the breathing,Second felt more mechanical
3/26/2026 9:22:27,2,Never,Yes,5,4,6,6,4,5,5,6,6,7,6,6,7,5,4,4,5,5,3,3,3,5,2,Adaptive environment,Adaptive environment,Adaptive environment,7,7,6,6,6,6,5,1,1,6,7,7,The environmental changes were very effective and helped increase immersion. Made it feel more realistic as they represented an individual's facial expressions which would be present in a real case scenario.,"I could better understand how my questions were making the agent ""feel"". The angry or ""red"" environment state let me know that I was getting closer to breaking the agent into confessing to the crime.  This motivated me to progress in the game as I know that I was getting closer to winning.",Not really. It simply added to the experience.,"Show when the agent is ""thinking"", i.e. generating an answer. And maybe also indicate that when you are speaking to the agent, your words are being heard by the system. So that you would be aware if the system did not manage to hear your words properly. ","The emotional aspect helps you get more invested in the game. The level of immersion is much greater and helps to get you hooked into the game. 

The interaction that excluded emotional aspects was less close to a realistic scenario of being able to perceive ones emotions. This meant it was more challenging to know what the ""agent"" was thinking and so you could not know if you were on the right track with the questions you were asking. 

However, the main difference would be the level of immersion experienced specifically in the emotional interaction which I felt took the game to another level. "
3/27/2026 10:51:17,3,Never,No,5,5,4,5,5,7,5,7,6,6,7,7,7,7,7,4,7,7,3,3,3,4,4,Adaptive environment,Adaptive environment,Adaptive environment,7,7,7,7,7,7,5,1,1,7,7,7,I really liked the change in atmosphere and the interrogation room changing as John became more angry ,It made it more enjoyable and fun to adapt to the situation ,No as it made it more immersive ,At a point the audio cut for me and stopped responding ,The one when the atmosphere changed  was very enjoyable and very immersive I felt very engaged and was eager to continue playing. When the atmosphere was not changing I found it less immersive and less enjoyable to play. 
3/27/2026 10:53:20,7,Rarely (a few times per year),Yes,6,6,7,6,6,6,6,7,7,7,7,7,7,6,7,5,7,7,6,6,6,7,7,Adaptive environment,Adaptive environment,Adaptive environment,7,7,5,5,7,7,3,1,1,7,7,7,The heartbeat sounds when he was getting nervous. Changes in room color aswell:,It made me realize he was put in a corner and couldn’t explain his lies better.,No,The session was a bit laggy at a point so maybe improving that.,The one with the changing atmosphere was more immersive
3/27/2026 11:08:55,5,Rarely (a few times per year),Yes,5,5,6,6,5,4,5,5,6,6,5,6,6,5,5,5,5,5,4,3,3,4,3,Adaptive environment,Adaptive environment,Adaptive environment,5,5,6,6,6,6,4,4,2,6,5,6,the colours and sounds,when he got scared i felt like he was more human,not really,make him less annoying,the second one was relatively boring and much less more engaging
3/27/2026 12:32:20,4,Rarely (a few times per year),Yes,6,5,6,5,7,6,5,5,6,6,6,6,5,6,6,7,6,7,6,5,6,6,6,Adaptive environment,Adaptive environment,No noticeable difference,7,7,4,6,7,5,4,2,1,6,6,6,The changing emotions of the character,Did not really change my approach,No,Improve hardware,The more emotional one was more prone to forget previous questions 
3/27/2026 14:08:28,1,Never,Yes,4,4,5,5,4,5,5,3,6,4,5,5,3,5,4,4,4,4,6,5,4,4,4,Non-adaptive environment,Non-adaptive environment,No noticeable difference,2,3,2,1,1,2,5,2,1,6,5,6,Mostly the layout of the interrogation room and the agent's shape slightly resembling a person ,"When there were flashing lights, I felt that it was getting slightly intense, but other than that I did not really observe any change of emotions so I perceived it the same.",Not really ,"Include colours that you would see in an interrogation room to make it more natural, possibly give a face to the agent to increase engagement, maybe make the agent move around more to portray a more tense environment. ","I did not perceive a big difference between the two as I did not really see the emotions change in the adaptive environment, but I felt that the non-adaptive one was more immersive because of the closeness to the agent, and something about the colour red made it seem more immersive."
3/27/2026 16:25:59,5,Never,Yes,6,6,4,7,6,2,7,6,4,7,5,6,7,7,3,7,2,7,2,3,6,2,1,Adaptive environment,Adaptive environment,Adaptive environment,7,7,6,7,6,7,7,6,1,6,6,7,The heartbeats when the conversational agent became nervous ,It portrayed how the conversational agent was feeling even when the tone of voice remained the same. ,At some times the conversational agent was hard to hear. But that wasn’t an issue,"I would suggest making the conversational agent mobile, where it could display emotion through humanized gestures.",The first interaction was significantly more entertaining as the noises and environmental changes made the scenarios more engaging. Whereas the second interaction was more mute and the conversational agent seemed robotic
3/27/2026 19:11:45,4,Never,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,No noticeable difference,Adaptive environment,Adaptive environment,7,7,7,7,7,7,1,1,1,7,7,7,,,None!,,
3/29/2026 13:50:57,2,Never,Yes,4,3,3,5,4,4,5,5,7,6,5,6,6,5,5,3,4,6,5,5,3,5,5,No noticeable difference,Adaptive environment,No noticeable difference,5,5,3,3,4,5,6,2,1,5,5,5,The lights changing colour,I could understand better how the AI was processing the conversation we were having,No,None come to mind,In the adaptive interaction it was easier to keep the conversation going 
3/29/2026 15:19:02,1,Never,Yes,6,6,7,7,6,6,6,6,7,6,6,6,6,7,7,7,6,6,6,5,6,6,6,Adaptive environment,Adaptive environment,Adaptive environment,6,6,6,6,6,6,2,2,1,7,6,5,The room lights ,Changing of lights and the heartbeat made it possible to detect when he was anxious ,No,Cannot think of anything at the moment ,"The first interaction gave you  a better understanding of the agent's answers, whether he was becoming anxious or not. "
3/29/2026 19:45:32,2,Rarely (a few times per year),Yes,6,6,7,6,7,6,6,7,7,7,6,6,6,6,6,6,6,7,7,6,6,6,6,Adaptive environment,Adaptive environment,No noticeable difference,6,6,6,6,6,6,6,7,5,6,6,7,The heartbeat and tone of voice,It gave me a far clearer perception of the agent's mood,"No, not at all",I would suggest more environmental adaptations - like body movements ,"The heartbeat felt real. The light complimented the interaction in the adaptative environment. However, the tone of the voice throughout sounded real and immersive "